"j","k","method","mean_ISE_MC","sd_ISE_MC","median_ISE_MC","IQR_ISE_MC"
1,7,"GM",0.000505855853835904,4.91545201359447e-05,0.000496716727245478,5.02711129842385e-05
1,7,"LL",3.97567544493506e-05,1.7372015740055e-06,3.99425396305412e-05,2.39575922428878e-06
1,7,"NW",0.000230515774671918,1.43672641075012e-05,0.000232059322151521,2.26613667749586e-05
1,10,"GM",0.000410363216797766,4.16977728127513e-05,0.000403368408549495,4.11140469704096e-05
1,10,"LL",3.45009919015286e-05,1.49157764974648e-06,3.46095898878887e-05,1.92823987485033e-06
1,10,"NW",0.000181695599271482,9.02840698196148e-06,0.000180799599806907,1.34916838880222e-05
1,14,"GM",0.000357297760822373,3.79437354556193e-05,0.000358054985522095,3.68016419447542e-05
1,14,"LL",2.38784546325071e-05,9.99003012316442e-07,2.3947276332771e-05,1.50048523126353e-06
1,14,"NW",0.000122971516202805,6.64406391470554e-06,0.000123274364891089,8.49560200282456e-06
2,7,"GM",0.00137327648219286,0.000173464485482623,0.00130971501771871,0.000151471805345594
2,7,"LL",0.000215994296664233,8.5804014587601e-06,0.000215319870117863,1.0408546328444e-05
2,7,"NW",0.000744092664295824,4.78759418703166e-05,0.00074211583215945,5.02312911506499e-05
2,10,"GM",0.001204772008964,0.000176855407862911,0.00115133377289915,9.89204693510803e-05
2,10,"LL",0.000131946363997117,5.03106316843488e-06,0.000131692953849039,6.69655301013952e-06
2,10,"NW",0.000521469569077152,2.02658698687962e-05,0.000522679591937741,2.64147497833295e-05
2,14,"GM",0.00107212925373903,0.00015155457324453,0.00104699998544204,0.000109150954767399
2,14,"LL",8.96080807978922e-05,4.04901991195131e-06,8.94248759241405e-05,5.41204714069138e-06
2,14,"NW",0.000323705225881892,1.99585947759882e-05,0.000322565804705701,2.99987617109817e-05
3,7,"GM",0.00243197110737824,0.000209841261173294,0.0024131761061501,0.000303640085878451
3,7,"LL",0.000595015185886726,5.36007402316889e-05,0.000593758740422647,6.74795534930562e-05
3,7,"NW",0.00148310488318004,0.000130906690669549,0.00149317167823877,0.000182780097509298
3,10,"GM",0.00188205269924961,0.000192909621992133,0.00186124000680237,0.000199486096276141
3,10,"LL",0.000354142519644423,3.35891639825075e-05,0.000353544598129903,4.44661418346702e-05
3,10,"NW",0.000896485901979835,8.73906704245171e-05,0.000899528401990183,0.000127178924428577
3,14,"GM",0.00162786677919924,0.000205157430666622,0.00159062517040381,0.000189428317109813
3,14,"LL",0.000238312513333561,2.22108878448094e-05,0.000240642812411912,3.40991726503498e-05
3,14,"NW",0.000512842698089732,5.2049790730966e-05,0.000508831477397094,7.66744301384497e-05
4,7,"GM",0.00138255566374503,0.000124138554243838,0.00135844637116167,0.000173488808121977
4,7,"LL",0.00028600174032257,1.13785107552126e-05,0.000286500142038523,1.40821723855848e-05
4,7,"NW",0.000874771184475061,4.50928274750446e-05,0.000877561382835017,6.51478628592998e-05
4,10,"GM",0.00107118975329542,9.5752582323349e-05,0.00106776799875598,0.00013273100764986
4,10,"LL",0.000171752332308248,8.38226353442493e-06,0.000170977764812926,1.25090867718677e-05
4,10,"NW",0.00058945173703433,2.87389458687966e-05,0.000588337280033088,4.0766215749243e-05
4,14,"GM",0.000842169264059116,0.000116167529040081,0.000820035709037852,0.000145470455342568
4,14,"LL",0.000108147194639501,5.20461262069084e-06,0.000108656600935798,6.78818023331851e-06
4,14,"NW",0.000384435995416499,1.99494175177209e-05,0.000383774351798192,2.65259759085202e-05
5,7,"GM",0.00574627621684192,0.000698614680208115,0.00562538771444127,0.000601448693689797
5,7,"LL",0.00085284105992849,3.64922874342194e-05,0.000856505682787769,4.64655189604657e-05
5,7,"NW",0.00313048860552776,0.000242737030865439,0.00312763368993869,0.000371777716142262
5,10,"GM",0.00454774135325949,0.000390885224564769,0.00456312447692194,0.000421615715732837
5,10,"LL",0.000590552463546738,2.56181787037809e-05,0.000590569336299174,3.14200596514713e-05
5,10,"NW",0.00199001240402332,0.000125884096102072,0.00198935798402894,0.00015928487221282
5,14,"GM",0.00384365641813372,0.000466166897815406,0.00385286835712902,0.000562062313336187
5,14,"LL",0.000389924387048669,1.7281642920967e-05,0.000389925174399558,2.43802202167898e-05
5,14,"NW",0.001098921652119,6.45926627092542e-05,0.00110054777777461,8.76135710806626e-05
6,7,"GM",0.00384711092337068,0.000582412529633433,0.00363642118522262,0.000409520338958743
6,7,"LL",0.000391602143119056,1.503338049738e-05,0.000391842412515724,1.91492613402006e-05
6,7,"NW",0.00192106561404985,0.000139231029750685,0.00191359387466897,0.000179029441349445
6,10,"GM",0.00306358718835868,0.000592178505561873,0.00281690056321113,0.000486438047262445
6,10,"LL",0.000236715759032661,1.08115778229695e-05,0.000238050275250672,1.5891483353482e-05
6,10,"NW",0.00121084437534949,5.75731639502493e-05,0.00121690329159922,8.95490003487349e-05
6,14,"GM",0.00246353209672935,0.000380604089668407,0.00232061357882824,0.000232526999924605
6,14,"LL",0.000146234067127061,7.06984879703704e-06,0.00014533784211419,9.46448646246348e-06
6,14,"NW",0.000664749992476923,4.33240014213839e-05,0.000666998365616536,6.04133960324531e-05
