ID,COUNTRY,C_ID,TYPE,TYPE2,XCOO,YCOO,XLAEA,YLAEA,ALT,CIA,sand,silt,clay,sand_norm,silt_norm,clay_norm,soiltype,soilclass,climate,MeanTemp,AnnPrec,PM,CEC,pH_CaCl2,TOC,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Pd,Pt,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,C_tot,S_tot,SiO2,Si_XRF,TiO2,Ti_XRF,Al2O3,Al_XRF,Fe2O3,Fe_XRF,MnO,Mn_XRF,MgO,Mg_XRF,CaO,Ca_XRF,Na2O,Na_XRF,K2O,K_XRF,P2O5,P_XRF,SO3,S_XRF,Cl_XRF,F_XRF,LOI,As_XRF,Ba_XRF,Bi_XRF,Ce_XRF,Co_XRF,Cr_XRF,Cs_XRF,Cu_XRF,Ga_XRF,Hf_XRF,La_XRF,Mo_XRF,Nb_XRF,Ni_XRF,Pb_XRF,Rb_XRF,Sb_XRF,Sc_XRF,Sn_XRF,Sr_XRF,Ta_XRF,Th_XRF,U_XRF,V_XRF,W_XRF,Y_XRF,Zn_XRF,Zr_XRF,208_207,207_208,208_206,206_208,206_207,207_206,SUSCEPTIBILITY,SUSCEPTIBILITY/FE2O3
3001,GER,39,Ap,ApS,10.6667,52.4167,4366358.988,3256570.511,77,64.5,67,21,8,69.7,21.8,8.5,lS,l,Temp,8.8,604,quartz,9.3,6.05,1.3,0.0232,2805,1.554,0.004893,1.94,19.4,0.0713,0.0986,1256,0.2120,10.3,0.86,5.66,0.387,3.47,2894,0.991,0.0100,0.02153,0.04369,0.01907,559,6.169,2.946,411,144,0.159,27.1,0.208,1.93,523,14.91,0.00050,0.00050,6.35,0.000250,80,0.1680,0.5151,0.1625,0.4349,10.0,0.0105,0.0100,0.855,26.0,0.0638,0.425,12.8,0.0738,1.90,19.2,0.652,1.36,0.018,89.27,417283,0.306,1834,3.57,18894,0.8,5595,0.028,217,0.15,905,0.341,2437,0.4,2967,1.181,9804,0.135,589,0.005,0.002,0.001,0.025,3.67,1.5,253,1.5,10,1.5,25,1.5,2.5,3,10,10,1,8,1.5,19,38,2.5,3,2,47,2.5,5,1.5,24,2.5,13,30,324,2.467703883,0.405066743,2.073607066,0.481897377,1.189626303,0.840264459,0.084124223,0.105155278
3002,SKA,20,Ap,ApS,19.608,48.5683,5028057.752,2874475.41,775,69.4,48,41,12,47.4,40.6,12,lS,l,Temp,5.6,864,other,11.1,4.9,2,0.0264,12251,2.907,0.000757,0.81,58.3,0.3890,0.1514,935,0.1599,40.9,4.82,8.02,1.170,4.94,13391,3.823,0.0100,0.00500,0.06398,0.01445,2033,14.546,11.357,3003,447,0.308,19.7,0.611,5.42,547,20.38,0.00050,0.00050,23.07,0.000605,202,0.9678,0.9955,0.1750,0.6244,12.1,0.0025,0.0100,4.587,390.0,0.1823,1.440,18.6,0.0237,2.23,50.0,0.173,2.09,0.025,65.44,305892,0.683,4095,15.18,80340,3.53,24690,0.08,620,1.04,6272,0.71,5074,2.11,15653,2.602,21600,0.195,851,0.005,0.002,0.001,0.025,8.12,4,862,1.5,77,8,24,5,2.5,21,8,22,1,11,6,25,75,2.5,8,2,278,2.5,13,3,68,2.5,14,67,281,2.481793766,0.40272964,2.057704894,0.485558762,1.20559444,0.829066703,0.119516141,0.033857264
3003,EST,9,Ap,ApN,22.5333,58.58,5046996.613,4006167.894,17,56.2,64,23,5,69.4,24.7,5.8,lS,l,BoTe,5.8,579,other,13.9,6.2,2.8,0.0262,4573,1.882,0.000455,3.72,24.1,0.4025,0.1357,2620,0.1781,27.8,2.81,7.61,0.742,6.49,7557,1.950,0.0100,0.00500,0.02801,0.00998,1046,13.939,6.823,1502,260,0.400,28.5,0.706,4.83,698,10.59,0.00050,0.00050,14.32,0.000250,345,0.0735,1.0296,0.2175,0.6311,22.6,0.0025,0.0100,1.594,131.5,0.0787,0.526,12.1,0.0640,4.37,44.1,0.461,2.86,0.03,77.21,360910,0.28,1679,7.68,40646,1.74,12170,0.048,372,0.51,3075,0.956,6833,1.25,9273,2.605,21625,0.196,855,0.005,0.002,0.005,0.025,7.33,1.5,453,1.5,39,6,20,4,2.5,9,12,10,1,7,6,19,88,2.5,4,2,111,2.5,9,1.5,30,2.5,21,59,222,2.535238469,0.394386694,1.961633099,0.510190301,1.293068293,0.773510339,0.164544662,0.094565898
3004,LIT,9,Ap,ApN,24.9375,55.4631,5258480.127,3693116.32,83,57,60,27,11,61.4,27.5,11.2,lS,l,BoTe,6.1,619,other,15.6,6.81,1.8,0.0319,5150,1.277,0.000359,1.49,42.4,0.2411,0.0853,3269,0.1404,24.2,2.85,8.03,0.483,5.22,6862,1.852,0.0100,0.05215,0.01604,0.01151,652,13.021,5.235,1676,154,0.122,19.5,0.329,5.38,424,7.67,0.00107,0.00050,7.98,0.000250,228,0.0796,1.1305,0.1641,0.4044,11.3,0.0025,0.0100,2.050,59.0,0.0711,0.634,11.7,0.0380,4.51,19.4,1.253,1.79,0.02,81.31,380075,0.396,2374,6.45,34137,1.56,10911,0.033,256,0.53,3196,0.844,6032,0.59,4377,2.28,18927,0.124,541,0.04,0.016,0.002,0.025,5.66,1.5,374,1.5,52,6,25,4,2.5,6,2.5,10,1,10,8,14,57,2.5,4,2,73,2.5,5,3,30,2.5,20,33,329,2.568111073,0.389541908,2.019978161,0.495371264,1.271658666,0.786531206,0.02738591,0.017555071
3005,NOR,9,Ap,ApN,25.0675,70.5008,4884643.708,5324544.679,4,48.9,83,16,1,83.3,16.1,0.6,S,ll,Spbo,-1.1,516,org,24.7,4.48,11,0.0226,3394,0.597,0.000959,2.65,37.5,0.1011,0.0543,5935,0.3580,19.8,2.43,6.92,0.963,6.81,7065,1.476,0.0309,0.01402,0.02353,0.00393,1096,14.565,1.918,2824,94,0.485,42.5,1.094,4.40,657,6.99,0.00050,0.00050,25.73,0.000250,902,0.0542,0.7499,0.4544,0.4163,69.1,0.0025,0.0100,0.838,354.8,0.1183,1.129,9.4,0.0222,4.52,32.4,0.415,10.4,0.105,59.35,277425,0.444,2662,8.19,43346,2.18,15248,0.062,480,0.81,4885,2.271,16231,1.91,14169,1.335,11082,0.206,899,0.18,0.0721,0.002,0.025,22.82,1.5,418,1.5,41,6,22,1.5,2.5,7,9,10,1,9,7,15,43,2.5,7,2,249,2.5,7,1.5,37,2.5,27,41,313,2.454485235,0.407297671,2.048626675,0.487844116,1.197723812,0.83462283,0.050421728,0.023129233
3006,PTG,22,Ap,ApS,-8.9333,38.9333,2688121.816,1965079.568,3,74.8,29,45,35,26.9,41.1,32.1,L,s,Medi,16.9,670,other,32.3,7.17,3.5,0.0763,24941,13.810,0.001637,10.73,71.2,2.1831,0.7026,5813,0.1636,45.8,12.85,34.20,5.949,21.26,32915,7.914,0.0560,0.17220,0.03118,0.04344,6287,25.458,56.183,9046,624,0.348,471.7,1.315,25.12,725,25.17,0.00231,0.00174,66.22,0.000250,400,0.4036,4.7059,0.3556,2.7007,44.1,0.0025,0.0100,8.720,237.7,0.4085,2.108,37.2,0.1581,11.76,99.5,6.662,1.96,0.042,53.34,249332,0.778,4664,19.2,101616,6.38,44624,0.097,751,2.23,13448,0.979,6997,0.68,5045,3.454,28673,0.224,978,0.05,0.02,0.005,0.025,12.33,17,477,1.5,74,16,83,17,18,27,9,33,1,18,38,32,177,2.5,17,7,98,2.5,16,5,108,2.5,36,129,161,2.467757866,0.405005901,2.046972772,0.488026765,1.204937981,0.829453584,0.165559298,0.025949733
3007,GER,44,Ap,ApN,14.3333,52.5833,4614526.978,3283654.634,8,73.1,43,32,25,43.2,31.7,25,L,s,Temp,9.1,528,other,27.2,6.95,2.4,0.0647,7131,4.241,0.002467,3.50,194.3,0.7652,0.2131,6372,0.2506,30.8,5.00,15.24,0.618,19.60,14873,2.141,0.0100,0.11582,0.05698,0.02239,2743,16.997,9.366,1714,356,0.221,53.0,0.489,12.92,1530,14.76,0.00199,0.00050,9.47,0.000250,415,0.1996,2.8428,0.4811,0.7345,43.7,0.0025,0.0100,4.559,29.5,0.0827,1.382,16.4,0.0559,12.99,54.9,4.307,2.55,0.04,74.26,347120,0.424,2542,8.26,43716,3.43,23991,0.052,403,0.63,3799,1.027,7340,0.49,3635,1.713,14220,0.352,1536,0.07,0.028,0.002,0.025,9.07,5,413,1.5,43,9,54,5,16,10,7,20,1,9,19,19,59,2.5,9,2,83,2.5,11,4,59,2.5,28,74,187,2.481836295,0.402715135,2.04093526,0.48952687,1.215499695,0.822303091,0.149877622,0.0436961
3008,LIT,11,Ap,ApN,25.0006,56.1044,5247170.697,3763927.453,69,58.5,50,33,17,50,32.8,17.1,sL,m,BoTe,5.9,627,other,11.1,7.13,0.9,0.0297,5837,1.950,0.000725,3.27,31.3,0.3617,0.0985,6730,0.0911,28.1,4.26,10.38,0.594,7.57,9102,2.072,0.0315,0.01920,0.01353,0.01383,1161,15.298,8.027,4033,307,0.286,28.5,0.384,8.15,377,9.06,0.00112,0.00050,14.01,0.000250,102,0.0918,1.4401,0.0250,0.4413,12.7,0.0025,0.0100,2.593,124.7,0.1016,0.501,12.6,0.0561,5.91,26.6,0.934,1.07,0.005,79.33,370819,0.375,2248,7.32,38741,2.13,14898,0.061,472,0.97,5849,1.528,10921,0.7,5193,2.564,21285,0.113,493,0.04,0.016,0.004,0.025,4.65,1.5,374,1.5,50,4,29,6,6,8,12,26,1,8,11,19,67,2.5,7,2,82,2.5,2.5,1.5,36,2.5,23,36,288,2.580203444,0.387383377,2.013419494,0.496250452,1.280955711,0.780286616,0.081054631,0.038053817
3009,POL,11,Ap,ApN,22.0199,54.0378,5104456.41,3502048.959,141,65.1,47,31,15,50.5,32.9,16.6,sL,m,BoTe,6.6,649,quartz,14.1,6.57,1.4,0.0165,6038,2.392,0.000316,3.04,33.8,0.2887,0.0903,2314,0.1308,19.9,3.44,11.09,0.456,4.83,8884,2.015,0.0100,0.04291,0.01547,0.00620,958,10.523,6.392,1517,203,0.234,22.0,0.436,6.16,399,9.97,0.00146,0.00050,8.80,0.000250,166,0.0948,1.2095,0.1068,0.4363,8.1,0.0025,0.0100,2.303,82.1,0.0707,0.527,13.0,0.0541,3.88,26.8,1.347,1.51,0.013,82.43,385310,0.362,2170,6.31,33396,1.97,13779,0.041,318,0.51,3075,0.664,4746,0.64,4748,1.965,16312,0.126,550,0.005,0.002,0.003,0.025,4.8,3,339,1.5,33,6,35,5,2.5,6,2.5,10,1,8,8,16,59,2.5,5,2,63,2.5,2.5,1.5,31,2.5,19,39,267,2.512129926,0.39788808,1.982128955,0.504109545,1.26688023,0.788970688,0.056251203,0.02855391
3011,SWE,167,Ap,ApN,16.6682,58.645,4708232.105,3967456.015,49,56.7,57,29,8,60.5,31,8.5,lS,l,BoTe,6.6,567,prec,12.6,5.25,3.7,0.0249,7511,0.890,0.000407,1.13,39.4,0.3778,0.1146,1917,0.1303,32.9,1.76,14.20,1.209,3.65,5615,3.378,0.0390,0.00500,0.03544,0.01882,981,19.883,6.814,1528,130,0.236,38.7,1.004,4.42,374,8.77,0.00050,0.00050,9.21,0.000250,303,0.0670,1.3035,0.1883,0.8722,8.6,0.0025,0.0100,2.038,179.0,0.1168,2.299,33.1,0.0707,5.65,13.7,0.626,3.61,0.028,72.44,338613,0.326,1954,10.12,53560,1.38,9652,0.032,248,0.55,3317,1.044,7461,2.1,15579,2.319,19251,0.15,655,0.005,0.002,0.003,0.025,9.34,1.5,424,1.5,42,4,27,5,2.5,13,2.5,28,1,10,6,19,74,2.5,6,2,97,2.5,12,1.5,61,2.5,27,22,229,2.700067732,0.370196829,1.751484716,0.570497842,1.540970691,0.648641959,0.05175281,0.037502036
